variable_ine,valores_ine
A12_1,00 a 24
A12_1,99 = no consta
A12_2,00 a 48
A12_2,99 = no consta
A13,1 = sí
A13,6 = no
A13,9 = no consta
B14,1 = muy bueno
B14,2 = bueno
B14,3 = regular
B14,4 = malo
B14,5 = muy malo
B15_1A,1 = sí
B15_1A,6 = no
B15_1A,9 = no consta
B15_1B,1 = sí
B15_1B,6 = no
B15_1B,9 = no consta
B15_1C,1 = sí
B15_1C,6 = no
B15_1C,9 = no consta
B15_1D,1 = sí
B15_1D,6 = no
B15_1D,9 = no consta
B15_2A,1 = sí
B15_2A,6 = no
B15_2A,9 = no consta
B15_2B,1 = sí
B15_2B,6 = no
B15_2B,9 = no consta
B15_2C,1 = sí
B15_2C,6 = no
B15_2C,9 = no consta
B15_2D,1 = sí
B15_2D,6 = no
B15_2D,9 = no consta
B15_3A,1 = sí
B15_3A,6 = no
B15_3A,9 = no consta
B15_3B,1 = sí
B15_3B,6 = no
B15_3B,9 = no consta
B15_3C,1 = sí
B15_3C,6 = no
B15_3C,9 = no consta
B15_3D,1 = sí
B15_3D,6 = no
B15_3D,9 = no consta
B15_4A,1 = sí
B15_4A,6 = no
B15_4A,9 = no consta
B15_4B,1 = sí
B15_4B,6 = no
B15_4B,9 = no consta
B15_4C,1 = sí
B15_4C,6 = no
B15_4C,9 = no consta
B15_4D,1 = sí
B15_4D,6 = no
B15_4D,9 = no consta
B15_5A,1 = sí
B15_5A,6 = no
B15_5A,9 = no consta
B15_5B,1 = sí
B15_5B,6 = no
B15_5B,9 = no consta
B15_5C,1 = sí
B15_5C,6 = no
B15_5C,9 = no consta
B15_5D,1 = sí
B15_5D,6 = no
B15_5D,9 = no consta
B15_6A,1 = sí
B15_6A,6 = no
B15_6A,9 = no consta
B15_6B,1 = sí
B15_6B,6 = no
B15_6B,9 = no consta
B15_6C,1 = sí
B15_6C,6 = no
B15_6C,9 = no consta
B15_6D,1 = sí
B15_6D,6 = no
B15_6D,9 = no consta
B15_7A,1 = sí
B15_7A,6 = no
B15_7A,9 = no consta
B15_7B,1 = sí
B15_7B,6 = no
B15_7B,9 = no consta
B15_7C,1 = sí
B15_7C,6 = no
B15_7C,9 = no consta
B15_7D,1 = sí
B15_7D,6 = no
B15_7D,9 = no consta
B15_8A,1 = sí
B15_8A,6 = no
B15_8A,9 = no consta
B15_8B,1 = sí
B15_8B,6 = no
B15_8B,9 = no consta
B15_8C,1 = sí
B15_8C,6 = no
B15_8C,9 = no consta
B15_8D,1 = sí
B15_8D,6 = no
B15_8D,9 = no consta
B15_9A,1 = sí
B15_9A,6 = no
B15_9A,9 = no consta
B15_9B,1 = sí
B15_9B,6 = no
B15_9B,9 = no consta
B15_9C,1 = sí
B15_9C,6 = no
B15_9C,9 = no consta
B15_9D,1 = sí
B15_9D,6 = no
B15_9D,9 = no consta
B15_10A,1 = sí
B15_10A,6 = no
B15_10A,9 = no consta
B15_10B,1 = sí
B15_10B,6 = no
B15_10B,9 = no consta
B15_10C,1 = sí
B15_10C,6 = no
B15_10C,9 = no consta
B15_10D,1 = sí
B15_10D,6 = no
B15_10D,9 = no consta
B15_11A,1 = sí
B15_11A,6 = no
B15_11A,9 = no consta
B15_11B,1 = sí
B15_11B,6 = no
B15_11B,9 = no consta
B15_11C,1 = sí
B15_11C,6 = no
B15_11C,9 = no consta
B15_11D,1 = sí
B15_11D,6 = no
B15_11D,9 = no consta
B15_12A,1 = sí
B15_12A,6 = no
B15_12A,9 = no consta
B15_12B,1 = sí
B15_12B,6 = no
B15_12B,9 = no consta
B15_12C,1 = sí
B15_12C,6 = no
B15_12C,9 = no consta
B15_12D,1 = sí
B15_12D,6 = no
B15_12D,9 = no consta
B15_13A,1 = sí
B15_13A,6 = no
B15_13A,9 = no consta
B15_13B,1 = sí
B15_13B,6 = no
B15_13B,9 = no consta
B15_13C,1 = sí
B15_13C,6 = no
B15_13C,9 = no consta
B15_13D,1 = sí
B15_13D,6 = no
B15_13D,9 = no consta
B15_14A,1 = sí
B15_14A,6 = no
B15_14A,9 = no consta
B15_14B,1 = sí
B15_14B,6 = no
B15_14B,9 = no consta
B15_14C,1 = sí
B15_14C,6 = no
B15_14C,9 = no consta
B15_14D,1 = sí
B15_14D,6 = no
B15_14D,9 = no consta
B15_15A,1 = sí
B15_15A,6 = no
B15_15A,9 = no consta
B15_15B,1 = sí
B15_15B,6 = no
B15_15B,9 = no consta
B15_15C,1 = sí
B15_15C,6 = no
B15_15C,9 = no consta
B15_15D,1 = sí
B15_15D,6 = no
B15_15D,9 = no consta
B15_16A,1 = sí
B15_16A,6 = no
B15_16A,9 = no consta
B15_16B,1 = sí
B15_16B,6 = no
B15_16B,9 = no consta
B15_16C,1 = sí
B15_16C,6 = no
B15_16C,9 = no consta
B15_16D,1 = sí
B15_16D,6 = no
B15_16D,9 = no consta
B15_17A,1 = sí
B15_17A,6 = no
B15_17A,9 = no consta
B15_17B,1 = sí
B15_17B,6 = no
B15_17B,9 = no consta
B15_17C,1 = sí
B15_17C,6 = no
B15_17C,9 = no consta
B15_17D,1 = sí
B15_17D,6 = no
B15_17D,9 = no consta
B15_18A,1 = sí
B15_18A,6 = no
B15_18A,9 = no consta
B15_18B,1 = sí
B15_18B,6 = no
B15_18B,9 = no consta
B15_18C,1 = sí
B15_18C,6 = no
B15_18C,9 = no consta
B15_18D,1 = sí
B15_18D,6 = no
B15_18D,9 = no consta
B15_19A,1 = sí
B15_19A,6 = no
B15_19A,9 = no consta
B15_19B,1 = sí
B15_19B,6 = no
B15_19B,9 = no consta
B15_19C,1 = sí
B15_19C,6 = no
B15_19C,9 = no consta
B15_19D,1 = sí
B15_19D,6 = no
B15_19D,9 = no consta
B15_20A,1 = sí
B15_20A,6 = no
B15_20A,9 = no consta
B15_20B,1 = sí
B15_20B,6 = no
B15_20B,9 = no consta
B15_20C,1 = sí
B15_20C,6 = no
B15_20C,9 = no consta
B15_20D,1 = sí
B15_20D,6 = no
B15_20D,9 = no consta
B15_21A,1 = sí
B15_21A,6 = no
B15_21A,9 = no consta
B15_21B,1 = sí
B15_21B,6 = no
B15_21B,9 = no consta
B15_21C,1 = sí
B15_21C,6 = no
B15_21C,9 = no consta
B15_21D,1 = sí
B15_21D,6 = no
B15_21D,9 = no consta
B15_22A,1 = sí
B15_22A,6 = no
B15_22A,9 = no consta
B15_22B,1 = sí
B15_22B,6 = no
B15_22B,9 = no consta
B15_22C,1 = sí
B15_22C,6 = no
B15_22C,9 = no consta
B15_22D,1 = sí
B15_22D,6 = no
B15_22D,9 = no consta
B15_23A,1 = sí
B15_23A,6 = no
B15_23A,9 = no consta
B15_23B,1 = sí
B15_23B,6 = no
B15_23B,9 = no consta
B15_23C,1 = sí
B15_23C,6 = no
B15_23C,9 = no consta
B15_23D,1 = sí
B15_23D,6 = no
B15_23D,9 = no consta
B15_24A,1 = sí
B15_24A,6 = no
B15_24A,9 = no consta
B15_24B,1 = sí
B15_24B,6 = no
B15_24B,9 = no consta
B15_24C,1 = sí
B15_24C,6 = no
B15_24C,9 = no consta
B15_24D,1 = sí
B15_24D,6 = no
B15_24D,9 = no consta
B15_25A,1 = sí
B15_25A,6 = no
B15_25A,9 = no consta
B15_25B,1 = sí
B15_25B,6 = no
B15_25B,9 = no consta
B15_25C,1 = sí
B15_25C,6 = no
B15_25C,9 = no consta
B15_25D,1 = sí
B15_25D,6 = no
B15_25D,9 = no consta
B15_26A,1 = sí
B15_26A,6 = no
B15_26A,9 = no consta
B15_26B,1 = sí
B15_26B,6 = no
B15_26B,9 = no consta
B15_26C,1 = sí
B15_26C,6 = no
B15_26C,9 = no consta
B15_26D,1 = sí
B15_26D,6 = no
B15_26D,9 = no consta
B15_27A,1 = sí
B15_27A,6 = no
B15_27A,9 = no consta
B15_27B,1 = sí
B15_27B,6 = no
B15_27B,9 = no consta
B15_27C,1 = sí
B15_27C,6 = no
B15_27C,9 = no consta
B15_27D,1 = sí
B15_27D,6 = no
B15_27D,9 = no consta
B15_28A,1 = sí
B15_28A,6 = no
B15_28A,9 = no consta
B15_28LI,Texto
B15_28LI,99999999= no consta
B15_28B,1 = sí
B15_28B,6 = no
B15_28B,9 = no consta
B15_28C,1 = sí
B15_28C,6 = no
B15_28C,9 = no consta
B15_28D,1 = sí
B15_28D,6 = no
B15_28D,9 = no consta
B15_29A,1 = sí
B15_29A,6 = no
B15_29A,9 = no consta
B15_29LI,Texto
B15_29LI,99999999= no consta
B15_29B,1 = sí
B15_29B,6 = no
B15_29B,9 = no consta
B15_29C,1 = sí
B15_29C,6 = no
B15_29C,9 = no consta
B15_29D,1 = sí
B15_29D,6 = no
B15_29D,9 = no consta
B16,1 = sí
B16,6 = no
B16,9 = no consta
C17,1 = sí
C17,6 = no
C18_1A,1 = sí
C18_1A,6 = no
C18_1A,9 = no consta
C18_1B,01 a 30
C18_1B,99 = no consta
C18_2A,1 = sí
C18_2A,6 = no
C18_2A,9 = no consta
C18_2B,01 a 30
C18_2B,99 = no consta
C18_3A,1 = sí
C18_3A,6 = no
C18_3A,9 = no consta
C18_3B,01 a 30
C18_3B,99 = no consta
C18_4A,1 = sí
C18_4A,6 = no
C18_4A,9 = no consta
C18_4B,01 a 30
C18_4B,99 = no consta
C18_5A,1 = sí
C18_5A,6 = no
C18_5A,9 = no consta
C18_5B,01 a 30
C18_5B,99 = no consta
C18_6A,1 = sí
C18_6A,6 = no
C18_6A,9 = no consta
C18_6B,01 a 30
C18_6B,99 = no consta
C18_7A,1 = sí
C18_7A,6 = no
C18_7A,9 = no consta
C18_7B,01 a 30
C18_7B,99 = no consta
C18_8A,1 = sí
C18_8A,6 = no
C18_8A,9 = no consta
C18_8B,01 a 30
C18_8B,99 = no consta
C19,"1 = en casa, escaleras, portal, etc."
C19,2 = en la calle o carretera y fue un accidente de tráfico
C19,"3 = en la calle, pero no fue un accidente de tráfico"
C19,4 = en el trabajo
C19,5 = en el lugar de estudio
C19,6 = en una instalación deportiva
C19,7= en una zona recreativa o de ocio
C19,8 = en otro lugar
C19,9 = no consta
C20,1 = consultó a un médico o enfermero
C20,2 = acudió a un centro de urgencias
C20,3 = ingresó en un hospital
C20,4 = no fue necesario hacer ninguna consulta ni intervención
C20,9 = no consta
C21_1,1 = sí
C21_1,0 = no
C21_1,9 = no consta
C21_2,1 = sí
C21_2,0 = no
C21_2,9 = no consta
C21_3,1 = sí
C21_3,0 = no
C21_3,9 = no consta
C21_4,1 = sí
C21_4,0 = no
C21_4,9 = no consta
C21_5,1 = sí
C21_5,0 = no
C21_5,9 = no consta
D22_1,1= sí
D22_1,6= no
D22_2,01 a 14
D22_2,99 = no consta
D23_1,1= sí
D23_1,6= no
D23_1,9 = no consta
D23_2,01 a 14
D23_2,99 = no consta
D24_1A,1 = sí
D24_1A,0 = no
D24_1A,9 = no consta
D24_1B,1 = sí
D24_1B,0 = no
D24_1B,9 = no consta
D24_2A,1 = sí
D24_2A,0 = no
D24_2A,9 = no consta
D24_2B,1 = sí
D24_2B,0 = no
D24_2B,9 = no consta
D24_3A,1 = sí
D24_3A,0 = no
D24_3A,9 = no consta
D24_3B,1 = sí
D24_3B,0 = no
D24_3B,9 = no consta
D24_4A,1 = sí
D24_4A,0 = no
D24_4A,9 = no consta
D24_4B,1 = sí
D24_4B,0 = no
D24_4B,9 = no consta
D24_5A,1 = sí
D24_5A,0 = no
D24_5A,9 = no consta
D24_5B,1 = sí
D24_5B,0 = no
D24_5B,9 = no consta
D24_6A,1 = sí
D24_6A,0 = no
D24_6A,9 = no consta
D24_6B,1 = sí
D24_6B,0 = no
D24_6B,9 = no consta
D24_7A,1 = sí
D24_7A,0 = no
D24_7A,9 = no consta
D24_7B,1 = sí
D24_7B,0 = no
D24_7B,9 = no consta
D24_8A,1 = sí
D24_8A,0 = no
D24_8A,9 = no consta
D24_8B,1 = sí
D24_8B,0 = no
D24_8B,9 = no consta
D24_9A,1 = sí
D24_9A,0 = no
D24_9A,9 = no consta
D24_9B,1 = sí
D24_9B,0 = no
D24_9B,9 = no consta
D24_10A,1 = sí
D24_10A,0 = no
D24_10A,9 = no consta
D24_10B,1 = sí
D24_10B,0 = no
D24_10B,9 = no consta
D24_11A,1 = sí
D24_11A,0 = no
D24_11A,9 = no consta
D24_11B,1 = sí
D24_11B,0 = no
D24_11B,9 = no consta
D24_12A,1 = sí
D24_12A,0 = no
D24_12A,9 = no consta
D24_12B,1 = sí
D24_12B,0 = no
D24_12B,9 = no consta
D24_13A,1 = sí
D24_13A,0 = no
D24_13A,9 = no consta
D24_13B,1 = sí
D24_13B,0 = no
D24_13B,9 = no consta
D24_14A,1 = sí
D24_14A,0 = no
D24_14A,9 = no consta
D24_14B,1 = sí
D24_14B,0 = no
D24_14B,9 = no consta
D24_15A,1 = sí
D24_15A,0 = no
D24_15A,9 = no consta
D24_15B,1 = sí
D24_15B,0 = no
D24_15B,9 = no consta
D24_16A,1 = sí
D24_16A,0 = no
D24_16A,9 = no consta
D24_16B,1 = sí
D24_16B,0 = no
D24_16B,9 = no consta
D24_17A,1 = sí
D24_17A,0 = no
D24_17A,9 = no consta
D24_17B,1 = sí
D24_17B,0 = no
D24_17B,9 = no consta
D24_18A,1 = sí
D24_18A,0 = no
D24_18A,9 = no consta
D24_18B,1 = sí
D24_18B,0 = no
D24_18B,9 = no consta
D24_19A,1 = sí
D24_19A,0 = no
D24_19A,9 = no consta
D24_19B,1 = sí
D24_19B,0 = no
D24_19B,9 = no consta
E25_1A,1 = sí
E25_1A,6 = no
E25_1A,9 = no consta
E25_1B,1 = sí
E25_1B,6 = no
E25_1B,9 = no consta
E25_2A,1 = sí
E25_2A,6 = no
E25_2A,9 = no consta
E25_2B,1 = sí
E25_2B,6 = no
E25_2B,9 = no consta
E25_3A,1 = sí
E25_3A,6 = no
E25_3A,9 = no consta
E25_3B,1 = sí
E25_3B,6 = no
E25_3B,9 = no consta
E25_4A,1 = sí
E25_4A,6 = no
E25_4A,9 = no consta
E25_4B,1 = sí
E25_4B,6 = no
E25_4B,9 = no consta
E25_5A,1 = sí
E25_5A,6 = no
E25_5A,9 = no consta
E25_5B,1 = sí
E25_5B,6 = no
E25_5B,9 = no consta
E25_6A,1 = sí
E25_6A,6 = no
E25_6A,9 = no consta
E25_6B,1 = sí
E25_6B,6 = no
E25_6B,9 = no consta
E25_7A,1 = sí
E25_7A,6 = no
E25_7A,9 = no consta
E25_7B,1 = sí
E25_7B,6 = no
E25_7B,9 = no consta
E25_8A,1 = sí
E25_8A,6 = no
E25_8A,9 = no consta
E25_8B,1 = sí
E25_8B,6 = no
E25_8B,9 = no consta
E25_9A,1 = sí
E25_9A,6 = no
E25_9A,9 = no consta
E25_9B,1 = sí
E25_9B,6 = no
E25_9B,9 = no consta
E25_10A,1 = sí
E25_10A,6 = no
E25_10A,9 = no consta
E25_10B,1 = sí
E25_10B,6 = no
E25_10B,9 = no consta
E25_11A,1 = sí
E25_11A,6 = no
E25_11A,9 = no consta
E25_11B,1 = sí
E25_11B,6 = no
E25_11B,9 = no consta
E25_12A,1 = sí
E25_12A,6 = no
E25_12A,9 = no consta
E25_12B,1 = sí
E25_12B,6 = no
E25_12B,9 = no consta
E25_13A,1 = sí
E25_13A,6 = no
E25_13A,9 = no consta
E25_13B,1 = sí
E25_13B,6 = no
E25_13B,9 = no consta
E25_14A,1 = sí
E25_14A,6 = no
E25_14A,9 = no consta
E25_14B,1 = sí
E25_14B,6 = no
E25_14B,9 = no consta
E25_15A,1 = sí
E25_15A,6 = no
E25_15A,9 = no consta
E25_15B,1 = sí
E25_15B,6 = no
E25_15B,9 = no consta
E25_16A,1 = sí
E25_16A,6 = no
E25_16A,9 = no consta
E25_16B,1 = sí
E25_16B,6 = no
E25_16B,9 = no consta
E25_17A,1 = sí
E25_17A,6 = no
E25_17A,9 = no consta
E25_17B,1 = sí
E25_17B,6 = no
E25_17B,9 = no consta
E25_18A,1 = sí
E25_18A,6 = no
E25_18A,9 = no consta
E25_18B,1 = sí
E25_18B,6 = no
E25_18B,9 = no consta
E25_19A,1 = sí
E25_19A,6 = no
E25_19A,9 = no consta
E25_19B,1 = sí
E25_19B,6 = no
E25_19B,9 = no consta
E25_20A,1 = sí
E25_20A,6 = no
E25_20A,9 = no consta
E25_20B,1 = sí
E25_20B,6 = no
E25_20B,9 = no consta
E25_21A,1 = sí
E25_21A,6 = no
E25_21A,9 = no consta
E25_22A,1 = sí
E25_22A,6 = no
E25_22A,9 = no consta
F26_1,0 = mejor que lo habitual
F26_1,1 = igual que lo habitual
F26_1,2 = menos que lo habitual
F26_1,3 = mucho menos que lo habitual
F26_1,9 = no consta
F26_2,"0 = no, en absoluto"
F26_2,1 = no más que lo habitual
F26_2,2 = algo más que lo habitual
F26_2,3 = mucho más que lo habitual
F26_2,9 = no consta
F26_3,0 = más útil que lo habitual
F26_3,1 = igual que lo habitual
F26_3,2 = menos útil que lo habitual
F26_3,3 = mucho menos útil que lo habitual
F26_3,9 = no consta
F26_4,0 = más que lo habitual
F26_4,1 = igual que lo habitual
F26_4,2 = menos que lo habitual
F26_4,3 = mucho menos que lo habitual
F26_4,9 = no consta
F26_5,"0 = no, en absoluto"
F26_5,1 = no más que lo habitual
F26_5,2 = algo más que lo habitual
F26_5,3 = mucho más que lo habitual
F26_5,9 = no consta
F26_6,"0 = no, en absoluto"
F26_6,1 = no más que lo habitual
F26_6,2 = algo más que lo habitual
F26_6,3 = mucho más que lo habitual
F26_6,9 = no consta
F26_7,0 = más que lo habitual
F26_7,1 = igual que lo habitual
F26_7,2 = menos que lo habitual
F26_7,3 = mucho menos que lo habitual
F26_7,9 = no consta
F26_8,0 = más capaz que lo habitual
F26_8,1 = igual que lo habitual
F26_8,2 = menos capaz que lo habitual
F26_8,3 = mucho menos capaz que lo habitual
F26_8,9 = no consta
F26_9,"0 = no, en absoluto"
F26_9,1 = no más que lo habitual
F26_9,2 = algo más que lo habitual
F26_9,3 = mucho más que lo habitual
F26_9,9 = no consta
F26_10,"0 = no, en absoluto"
F26_10,1 = no más que lo habitual
F26_10,2 = algo más que lo habitual
F26_10,3 = mucho más que lo habitual
F26_10,9 = no consta
F26_11,"0 = no, en absoluto"
F26_11,1 = no más que lo habitual
F26_11,2 = algo más que lo habitual
F26_11,3 = mucho más que lo habitual
F26_11,9 = no consta
F26_12,0 = más que lo habitual
F26_12,1 = igual que lo habitual
F26_12,2 = menos que lo habitual
F26_12,3 = mucho menos que lo habitual
F26_12,9 = no consta
F27_0,1 = sí
F27_0,6 = no
F27,1(nada estresante) a 7 (muy estresante)
F27,9 = no consta
F28,1(nada satisfactorio) a 7 (muy satisfactorio)
F28,9 = no consta
G1_29_1,1 = hace cuatro semanas o menos
G1_29_1,2 = hace más de cuatro semanas y menos de un año
G1_29_1,3 = hace un año o más
G1_29_1,4 = nunca ha ido al médico
G1_29_2,01 a 11
G1_29_2,99 = no consta
G1_29_3,01 a 98
G1_29_3,99 = no consta
G1_30,00 a 28
G1_30,98 = no sabe
G1_30,99 = no consta
G1_31,00 a 28
G1_31,98 = no sabe
G1_31,99 = no consta
G1_32,01= médico de familia
G1_32,02 = alergología
G1_32,03 = aparato digestivo
G1_32,04 = cardiología
G1_32,05 = cirugía general y digestiva
G1_32,06 = cirugía cardiovascular
G1_32,07 = cirugía vascular
G1_32,08 = dermatología
G1_32,09 = endocrinología y nutrición
G1_32,10 = geriatría
G1_32,11 = ginecología-obstetricia
G1_32,12 = medicina interna
G1_32,13 = nefrología
G1_32,14 = neumología
G1_32,15 = neurocirugía
G1_32,16 = neurología
G1_32,17 = oftalmología
G1_32,18 = oncología
G1_32,19 = otorrinolaringología
G1_32,20 = psiquiatría
G1_32,21 = rehabilitación
G1_32,22 = reumatología
G1_32,23 = traumatología
G1_32,24 = urología
G1_32,25 = otra especialidad
G1_32,99 = no consta
G1_33,01= centro de salud/consultorio
G1_33,02 = ambulatorio/centro de especialidades
G1_33,03 = consulta externa de un hospital
G1_33,04 = servicio de urgencias no hospitalario
G1_33,05 = servicio de urgencias de un hospital
G1_33,06 = consulta de médico/a particular
G1_33,07 = consulta de médico/a de una sociedad
G1_33,08 = empresa o lugar de trabajo
G1_33,09 = domicilio del/de la entrevistado/a
G1_33,10 = consulta telefónica
G1_33,11 = otro lugar
G1_33,99 = no consta
G1_34,1= diagnóstico de una enfermedad o problema de salud
G1_34,2 = accidente o agresión
G1_34,3 = revisión por enfermedad
G1_34,4 = sólo dispensación de recetas
G1_34,"5 = parte de baja, confirmación o alta"
G1_34,6 = otro motivos
G1_34,9 = no consta
G1_35_1,00 a 72
G1_35_1,98 = no sabe
G1_35_1,99 = no consta
G1_35_2,00 a 30
G1_35_2,98 = no sabe
G1_35_2,99 = no consta
G1_35_3,00 a 23
G1_35_3,98 = no sabe
G1_35_3,99 = no consta
G1_36_1,00 a 24
G1_36_1,98 = no sabe
G1_36_1,99 = no consta
G1_36_2,00 a 30
G1_36_2,98 = no sabe
G1_36_2,99 = no consta
G1_36_3,00 a 23
G1_36_3,98 = no sabe
G1_36_3,99 = no consta
G1_37,1 = sanidad pública (seguridad social)
G1_37,2 = sociedad médica
G1_37,3 = consulta privada
G1_37,"4 = otros (iguala médica, médico/a de empresa,...)"
G1_37,9 = no consta
G1_38,1 = sí
G1_38,6 = no
G1_38,9 = no consta
G1_39_1A,1 = sí
G1_39_1A,6 = no
G1_39_1A,9 = no consta
G1_39_1B,00 a 30
G1_39_1B,98 = no sabe
G1_39_1B,99 = no consta
G1_39_1C,00 a 30
G1_39_1C,98 = no sabe
G1_39_1C,99 = no consta
G1_39_2A,1 = sí
G1_39_2A,6 = no
G1_39_2A,9 = no consta
G1_39_2B,00 a 30
G1_39_2B,98 = no sabe
G1_39_2B,99 = no consta
G1_39_2C,00 a 30
G1_39_2C,98 = no sabe
G1_39_2C,99 = no consta
G1_39_3A,1 = sí
G1_39_3A,6 = no
G1_39_3A,9 = no consta
G1_39_3B,00 a 30
G1_39_3B,98 = no sabe
G1_39_3B,99 = no consta
G1_39_3C,00 a 30
G1_39_3C,98 = no sabe
G1_39_3C,99 = no consta
G1_39_4A,1 = sí
G1_39_4A,6 = no
G1_39_4A,9 = no consta
G1_39_4B,00 a 30
G1_39_4B,98 = no sabe
G1_39_4B,99 = no consta
G1_39_4C,00 a 30
G1_39_4C,98 = no sabe
G1_39_4C,99 = no consta
G1_39_5A,1 = sí
G1_39_5A,6 = no
G1_39_5A,9 = no consta
G1_39_5B,00 a 30
G1_39_5B,98 = no sabe
